pais,categoria,empresa,marcas,lineas_negocio,direccion,ciudad,provincia,telefono,web
Ecuador,Importador,INDUSUR INDUSTRIAL DEL SUR S.A.,,"Importación Camiones, Repuestos, Lubricantes, Servicio técnico",Av. Carlos J. Arosemena km 4 ½,Guayaquil,Guayas,04-3-702300,www.indusur.com
Ecuador,Importador,ITOCHU ECUADOR S.A.,Isuzu; Suzuki,"Importador de automoviles, camionetas Y Todoterreno (DMAX- GRAN VITARA) y camiones (ISUZU), repuestos ISUZU Y SUZUKI",Av. Eloy Alfaro N30-341 y Amazonas,Quito,Pichincha,2567767/ 2461427,
Ecuador,Importador,"CORPORACIÓN MARESA (Manufacturas, Armadurías y Repuestos Ecuatorianos S.A.)",Citroen; Hino,COMERCIALIZACION DE CAMIONES HINO Y VEHICULOS CITROËN,MATRIZ: Av. Juan Tanca Marengo Km. 3 1/2 - Guayaquil,Guayaquil,Guayas,04 3711111,www.grupomavesa.com.ec
Ecuador,Importador,MAQUINAS Y CAMIONES S.A. MACASA,Volvo,"Importación y Comercialización Camiones, repuestos y talleres Mack y Volvo",MATRIZ: Avda. Juan Tanca Marengo Km. 4 1/2 - Guayaquil,Guayaquil,Guayas,04 5000297 / 043731777 Ext. 1320,www.macasa.com.ec
Ecuador,Importador,MAXDRIVE S.A.,,"VENTA DE VEHICULOS PESADOS FREIGHLINER, WESTERN STAR, BUSES THOMAS, MOTORES DETROIT Y SERVICIOS DE POSTVENTA",Av.Galo Plaza Lasso E1-25 y Los Aceitunos,Quito,Pichincha,(02)2805715 / 1800maxdri,www.maxdrive.com.ec
Ecuador,Importador,MECANOSOLVERS S.A.,Dfsk; Geely,"VENTA DE VEHICULOS, TALLER, REPUESTOS MARCAS: DOMY, LIFAN, GEELY, GOLDEN DRAGON, CHANGHE, JINBEI, LADA, BRILLANCE,DFSK .",MATRIZ: Avda. Pedro Vicente Maldonado S24-4 y Quimiag,Quito,Pichincha,3061822 - 3061558 - 3061616,
Ecuador,Importador,MOTRANSA C.LA.,Mitsubishi,"Vehiculos, Repuestos y Talleres de las marcas Mitsubishi Motors, FUSO, International.",Juan De Azcaray E3-33 Y Av Diez De Agosto,Quito,Pichincha,2940850 / 2940800,www.motransa.com
Ecuador,Importador,NEOHYUNDAI S.A.,Hyundai,"IMPORTACIÒN DE VEHIUCOLOS Y REPUESTOS HYUNDAI, TALLER AUTORIZADO",Avenida Galo Plaza Lasso Y 6 de Diciembre,,,6030740 / 3974900,
Ecuador,Importador,ORGU COSTA S.A.,Ford,"IMPORTADORES DE AUTOMOTORES, REPUESTOS Y ACCESORIOS MARCA FORD",MATRIZ: Avda. Carlos Julio Arosemena KM 2 1/2,Guayaquil,Guayas,042 207078,www.orgu.com.ec
Ecuador,Importador,QUITO MOTORS SACI,,"Importa y Comercializa vehiculos camionetaas, todoterrero, Motocicletas ROYAL ENFIELD, repuestos , accesorios, Lubricantes y talleres de servicio.",Av. 10 de Agosto N 25-108 y Colón,Quito,Pichincha,3 96 98 00 / 2454077,
